repo,date,cwe,severity,year
JustGoingViral/Neural-Epigenetic-Cancer-Intelligence-Platform,2025-09-12 21:27:25+00:00,CWE-79 (XSS/注入),Low,2025
JustGoingViral/Neural-Epigenetic-Cancer-Intelligence-Platform,2025-09-12 21:27:24+00:00,CWE-200 (信息泄露),Medium,2025
JustGoingViral/Neural-Epigenetic-Cancer-Intelligence-Platform,2025-09-12 21:27:24+00:00,CWE-200 (信息泄露),Medium,2025
JustGoingViral/Neural-Epigenetic-Cancer-Intelligence-Platform,2025-09-12 21:27:22+00:00,CWE-200 (信息泄露),Medium,2025
JustGoingViral/Neural-Epigenetic-Cancer-Intelligence-Platform,2025-08-21 08:17:48+00:00,CWE-287 (认证问题),Medium,2025
JustGoingViral/Neural-Epigenetic-Cancer-Intelligence-Platform,2025-08-09 05:02:38+00:00,CWE-79 (XSS/注入),Medium,2025
JustGoingViral/Neural-Epigenetic-Cancer-Intelligence-Platform,2025-08-09 03:37:28+00:00,CWE-79 (XSS/注入),Medium,2025
JustGoingViral/Neural-Epigenetic-Cancer-Intelligence-Platform,2025-08-09 03:37:09+00:00,CWE-287 (认证问题),Medium,2025
JustGoingViral/Neural-Epigenetic-Cancer-Intelligence-Platform,2025-08-09 03:36:53+00:00,CWE-79 (XSS/注入),Medium,2025
JustGoingViral/Neural-Epigenetic-Cancer-Intelligence-Platform,2025-08-09 03:35:54+00:00,CWE-287 (认证问题),Medium,2025
Keeper888/privacyguardian,2026-01-02 15:34:14+00:00,CWE-200 (信息泄露),High,2026
Keeper888/privacyguardian,2026-01-02 11:32:34+00:00,CWE-200 (信息泄露),Medium,2026
Keeper888/privacyguardian,2026-01-02 11:27:03+00:00,CWE-200 (信息泄露),High,2026
Keeper888/privacyguardian,2026-01-02 03:33:28+00:00,CWE-200 (信息泄露),High,2026
Keeper888/privacyguardian,2026-01-02 03:02:39+00:00,CWE-200 (信息泄露),High,2026
Keeper888/privacyguardian,2026-01-02 02:16:46+00:00,CWE-200 (信息泄露),Medium,2026
Keeper888/privacyguardian,2025-12-30 20:45:10+00:00,CWE-200 (信息泄露),High,2025
Keeper888/privacyguardian,2025-12-30 20:45:08+00:00,CWE-200 (信息泄露),High,2025
Keeper888/privacyguardian,2025-12-30 19:42:14+00:00,CWE-200 (信息泄露),Medium,2025
Keeper888/privacyguardian,2025-12-30 19:41:49+00:00,CWE-200 (信息泄露),High,2025
MouYongli/MedAgent,2025-03-03 22:04:29+00:00,CWE-287 (认证问题),Medium,2025
Mustafabeshara/medical-business-ai-agent,2026-01-26 21:10:55+00:00,CWE-200 (信息泄露),High,2026
Mustafabeshara/medical-business-ai-agent,2026-01-01 21:33:55+00:00,CWE-287 (认证问题),High,2026
PhysiologicAILab/FactorizePhys,2025-05-23 09:31:43+00:00,CWE-287 (认证问题),Low,2025
PhysiologicAILab/FactorizePhys,2025-03-20 02:30:32+00:00,CWE-287 (认证问题),Medium,2025
PhysiologicAILab/FactorizePhys,2025-01-25 17:18:11+00:00,CWE-287 (认证问题),High,2025
PhysiologicAILab/FactorizePhys,2024-12-12 03:02:07+00:00,CWE-502 (反序列化),Medium,2024
Precise-Goals/Carex-AI---Healthcare-Ecosystem,2026-01-12 19:10:55+00:00,CWE-287 (认证问题),High,2026
SSameer20/SkinAI,2024-10-08 17:55:23+00:00,CWE-287 (认证问题),Medium,2024
