repo,date,cwe,severity,year
pat-jj/KARE,2025-03-07 09:07:26+00:00,CWE-287 (认证问题),Medium,2025
s-uryansh/GladMeds,2025-12-17 01:01:11+00:00,CWE-287 (认证问题),High,2025
sigdelsanjog/gptmed,2026-01-12 11:47:01+00:00,CWE-502 (反序列化),Medium,2026
sigdelsanjog/gptmed,2026-01-08 17:14:11+00:00,CWE-287 (认证问题),Low,2026
thankcheeses/NHID-Clinical,2026-01-12 05:41:19+00:00,CWE-287 (认证问题),Low,2026
the-momentum/open-wearables,2026-01-21 13:28:15+00:00,CWE-79 (XSS/注入),Medium,2026
the-momentum/open-wearables,2026-01-21 13:23:36+00:00,CWE-200 (信息泄露),Low,2026
the-momentum/open-wearables,2026-01-20 15:30:27+00:00,CWE-287 (认证问题),High,2026
the-momentum/open-wearables,2026-01-20 08:21:17+00:00,CWE-287 (认证问题),Low,2026
the-momentum/open-wearables,2026-01-14 15:07:05+00:00,CWE-287 (认证问题),Low,2026
the-momentum/open-wearables,2026-01-27 22:44:14+00:00,CWE-79 (XSS/注入),Low,2026
the-momentum/open-wearables,2026-01-27 15:52:27+00:00,CWE-79 (XSS/注入),Medium,2026
the-momentum/open-wearables,2026-01-26 14:43:09+00:00,CWE-287 (认证问题),Low,2026
the-momentum/open-wearables,2026-01-22 20:24:36+00:00,CWE-287 (认证问题),Low,2026
the-momentum/open-wearables,2026-01-22 17:08:00+00:00,CWE-79 (XSS/注入),Low,2026
the-momentum/open-wearables,2026-01-22 12:00:06+00:00,CWE-200 (信息泄露),Low,2026
the-momentum/open-wearables,2026-01-21 15:22:16+00:00,CWE-287 (认证问题),Low,2026
the-momentum/open-wearables,2026-01-21 14:38:23+00:00,CWE-287 (认证问题),Low,2026
the-momentum/open-wearables,2026-01-21 14:33:35+00:00,CWE-287 (认证问题),Low,2026
the-momentum/open-wearables,2026-01-21 14:22:09+00:00,CWE-287 (认证问题),Low,2026
the-momentum/open-wearables,2026-01-17 16:47:12+00:00,CWE-287 (认证问题),Low,2026
the-momentum/open-wearables,2026-01-15 13:28:02+00:00,CWE-287 (认证问题),Low,2026
tolu-c/HealthGPT,2023-11-26 15:06:42+00:00,CWE-287 (认证问题),Medium,2023
tolu-c/HealthGPT,2023-11-25 23:40:43+00:00,CWE-287 (认证问题),Medium,2023
tolu-c/HealthGPT,2023-11-25 16:08:07+00:00,CWE-287 (认证问题),Medium,2023
tolu-c/HealthGPT,2023-11-25 12:53:04+00:00,CWE-287 (认证问题),Low,2023
tolu-c/HealthGPT,2023-11-23 00:59:00+00:00,CWE-287 (认证问题),Low,2023
tolu-c/HealthGPT,2023-11-23 00:29:47+00:00,CWE-287 (认证问题),Low,2023
ubicomplab/rPPG-Toolbox,2025-06-22 07:58:20+00:00,CWE-200 (信息泄露),Medium,2025
ubicomplab/rPPG-Toolbox,2025-04-24 06:33:53+00:00,CWE-502 (反序列化),Low,2025
ubicomplab/rPPG-Toolbox,2025-03-25 06:46:46+00:00,CWE-502 (反序列化),Low,2025
ubicomplab/rPPG-Toolbox,2025-03-14 13:31:35+00:00,CWE-502 (反序列化),Medium,2025
ubicomplab/rPPG-Toolbox,2025-03-11 01:34:20+00:00,CWE-287 (认证问题),Medium,2025
ubicomplab/rPPG-Toolbox,2025-03-08 06:02:40+00:00,CWE-502 (反序列化),Low,2025
ubicomplab/rPPG-Toolbox,2025-02-26 12:32:56+00:00,CWE-502 (反序列化),Medium,2025
ubicomplab/rPPG-Toolbox,2025-01-16 21:31:51+00:00,CWE-502 (反序列化),Low,2025
ubicomplab/rPPG-Toolbox,2025-01-03 21:36:47+00:00,CWE-502 (反序列化),Low,2025
ubicomplab/rPPG-Toolbox,2024-12-24 07:04:20+00:00,CWE-502 (反序列化),Low,2024
ubicomplab/rPPG-Toolbox,2024-11-28 11:57:53+00:00,CWE-502 (反序列化),High,2024
ubicomplab/rPPG-Toolbox,2024-11-25 14:09:02+00:00,CWE-502 (反序列化),Medium,2024
ubicomplab/rPPG-Toolbox,2024-11-12 09:43:22+00:00,CWE-502 (反序列化),Low,2024
ubicomplab/rPPG-Toolbox,2024-11-02 08:27:36+00:00,CWE-502 (反序列化),Low,2024
ubicomplab/rPPG-Toolbox,2024-09-27 15:42:50+00:00,CWE-502 (反序列化),Medium,2024
ubicomplab/rPPG-Toolbox,2025-02-08 00:13:51+00:00,CWE-502 (反序列化),Medium,2025
uni-medical/UniMedVL,2025-10-27 18:13:31+00:00,CWE-502 (反序列化),Medium,2025
xkaper001/DocPilot,2025-10-17 13:14:26+00:00,CWE-502 (反序列化),Low,2025
xkaper001/DocPilot,2025-10-17 13:14:18+00:00,CWE-502 (反序列化),Low,2025
xkaper001/DocPilot,2025-10-17 12:52:55+00:00,CWE-287 (认证问题),Low,2025
xkaper001/DocPilot,2025-10-17 12:52:52+00:00,CWE-200 (信息泄露),Medium,2025
xkaper001/DocPilot,2025-10-17 12:52:44+00:00,CWE-287 (认证问题),Medium,2025
xkaper001/DocPilot,2025-10-17 12:51:54+00:00,CWE-287 (认证问题),Medium,2025
xkaper001/DocPilot,2025-10-19 16:55:59+00:00,CWE-287 (认证问题),Low,2025
xkaper001/DocPilot,2025-10-18 19:40:28+00:00,CWE-502 (反序列化),Medium,2025
xkaper001/DocPilot,2025-10-11 18:53:05+00:00,CWE-287 (认证问题),High,2025
xkaper001/DocPilot,2025-09-17 15:30:17+00:00,CWE-200 (信息泄露),High,2025
xkaper001/DocPilot,2025-08-06 08:43:27+00:00,CWE-287 (认证问题),Medium,2025
yorkeccak/bio,2026-01-15 16:33:29+00:00,CWE-287 (认证问题),Medium,2026
yorkeccak/bio,2026-01-08 10:22:30+00:00,CWE-287 (认证问题),Medium,2026
